timestamp,vibration_rms_mm_s,temperature_c,rpm,acoustic_noise_db,bearing_wear_percent,lubricant_quality_percent,failure_risk_score,remaining_useful_life_hours,breakdown_label
2026-01-02 00:00:00,5.11,65.07,1407.2,69.35,51.52,65.57,0.5455,96.0,0
2026-01-02 00:30:00,5.199,64.37,1419.0,69.15,47.84,64.47,0.5405,94.81,0
2026-01-02 01:00:00,5.075,66.83,1429.8,71.17,51.5,60.62,0.5579,95.34,0
2026-01-02 01:30:00,5.004,63.22,1409.0,70.9,50.35,60.59,0.5442,95.06,0
2026-01-02 02:00:00,5.13,63.77,1414.1,71.34,49.27,64.38,0.5402,96.0,0
2026-01-02 02:30:00,5.218,63.68,1424.4,69.57,51.87,63.48,0.5518,95.0,0
2026-01-02 03:00:00,5.194,65.09,1414.1,69.74,49.75,60.04,0.5555,96.0,0
2026-01-02 03:30:00,5.086,66.79,1417.4,71.8,49.7,63.01,0.5489,96.0,0
2026-01-02 04:00:00,4.982,64.88,1400.1,71.05,49.83,64.55,0.5378,96.0,0
2026-01-02 04:30:00,5.238,64.91,1419.4,71.16,49.58,65.68,0.5451,94.57,0
2026-01-02 05:00:00,5.22,66.93,1405.4,71.01,52.07,59.95,0.5666,94.58,0
2026-01-02 05:30:00,4.953,68.22,1414.3,68.57,47.81,60.68,0.5468,95.44,0
2026-01-02 06:00:00,5.378,66.15,1413.2,71.76,52.74,63.51,0.5657,92.79,0
2026-01-02 06:30:00,5.315,62.68,1404.6,69.05,53.03,59.39,0.5645,93.66,0
2026-01-02 07:00:00,5.12,63.28,1423.3,69.75,52.96,61.51,0.5536,95.19,0
2026-01-02 07:30:00,4.929,66.0,1417.9,70.77,52.38,61.11,0.5515,94.34,0
2026-01-02 08:00:00,4.881,65.38,1417.8,70.4,53.01,60.86,0.5502,96.0,0
2026-01-02 08:30:00,5.26,62.43,1417.0,70.21,49.78,59.8,0.5528,93.55,0
2026-01-02 09:00:00,5.108,66.28,1405.9,70.68,51.75,59.26,0.5613,92.94,0
2026-01-02 09:30:00,5.15,66.44,1399.7,70.59,50.86,60.36,0.5589,93.02,0
2026-01-02 10:00:00,4.963,63.43,1425.9,71.03,48.49,60.42,0.5387,94.01,0
2026-01-02 10:30:00,5.325,67.67,1419.5,71.02,52.81,59.91,0.5744,93.7,0
2026-01-02 11:00:00,4.759,65.09,1432.6,70.38,52.2,59.46,0.5455,96.0,0
2026-01-02 11:30:00,5.184,66.28,1412.6,71.08,52.1,63.63,0.5565,93.21,0
2026-01-02 12:00:00,5.242,64.63,1407.6,70.84,54.06,61.92,0.5634,93.66,0
2026-01-02 12:30:00,5.258,67.58,1411.3,70.73,51.12,61.89,0.5633,94.55,0
2026-01-02 13:00:00,5.278,68.78,1409.4,71.06,51.42,62.43,0.5665,93.26,0
2026-01-02 13:30:00,4.949,65.6,1413.6,70.42,52.79,59.62,0.5553,93.96,0
2026-01-02 14:00:00,5.104,67.53,1403.7,70.48,52.6,61.1,0.5624,93.66,0
2026-01-02 14:30:00,5.03,63.75,1402.9,71.44,53.45,63.65,0.548,94.09,0
2026-01-02 15:00:00,5.046,66.04,1410.9,70.39,51.95,62.47,0.5524,91.3,0
2026-01-02 15:30:00,4.855,64.06,1417.6,69.55,49.23,60.75,0.537,93.86,0
2026-01-02 16:00:00,5.299,65.42,1411.1,71.26,50.87,62.04,0.5592,92.62,0
