timestamp,vibration_rms_mm_s,temperature_c,rpm,acoustic_noise_db,bearing_wear_percent,lubricant_quality_percent,failure_risk_score,remaining_useful_life_hours,breakdown_label
2026-01-02 00:00:00,5.033,63.99,1433.4,69.51,53.82,59.22,0.5585,96.0,0
2026-01-02 00:30:00,5.274,63.06,1416.4,69.57,53.65,60.83,0.5623,93.85,0
2026-01-02 01:00:00,5.013,64.97,1408.5,69.16,54.29,60.02,0.5595,95.24,0
2026-01-02 01:30:00,4.884,66.1,1396.1,69.69,47.96,64.27,0.5325,95.94,0
2026-01-02 02:00:00,4.909,65.87,1421.5,69.92,51.28,59.95,0.5499,94.71,0
2026-01-02 02:30:00,5.498,64.74,1414.3,71.05,48.24,62.95,0.5572,94.47,0
2026-01-02 03:00:00,5.02,64.06,1420.6,71.85,51.37,61.4,0.5476,95.62,0
2026-01-02 03:30:00,5.224,64.87,1427.1,71.71,51.65,60.59,0.5599,96.0,0
2026-01-02 04:00:00,5.028,64.32,1408.9,70.35,55.37,62.59,0.5562,94.06,0
2026-01-02 04:30:00,4.838,68.11,1429.7,70.61,49.66,60.57,0.5468,94.7,0
2026-01-02 05:00:00,5.328,67.76,1414.2,69.68,52.61,60.52,0.573,92.94,0
2026-01-02 05:30:00,5.219,65.19,1417.7,71.67,52.87,60.58,0.5635,91.94,0
2026-01-02 06:00:00,5.177,65.99,1434.7,71.03,52.36,61.82,0.5598,92.94,0
2026-01-02 06:30:00,5.107,65.3,1412.8,71.33,50.19,60.26,0.5532,96.0,0
2026-01-02 07:00:00,4.921,61.8,1397.9,68.85,51.53,58.7,0.5445,94.85,0
2026-01-02 07:30:00,5.025,67.07,1416.8,70.05,51.97,60.0,0.5588,93.18,0
2026-01-02 08:00:00,5.438,66.57,1408.2,70.76,51.69,62.47,0.5685,94.44,0
2026-01-02 08:30:00,4.865,62.49,1413.6,70.69,55.21,61.69,0.547,94.07,0
2026-01-02 09:00:00,4.888,67.5,1417.2,71.68,53.49,63.37,0.5514,94.93,0
2026-01-02 09:30:00,4.71,65.03,1423.0,71.45,50.14,62.17,0.5329,95.57,0
2026-01-02 10:00:00,5.166,65.66,1420.0,69.11,51.13,62.56,0.5541,94.9,0
2026-01-02 10:30:00,4.893,66.3,1408.1,71.1,49.54,63.81,0.5382,94.73,0
2026-01-02 11:00:00,5.433,63.57,1413.2,71.04,50.24,59.7,0.5636,94.16,0
2026-01-02 11:30:00,5.189,66.17,1416.5,70.08,51.72,60.23,0.5623,92.63,0
2026-01-02 12:00:00,5.086,64.16,1415.2,71.37,53.86,60.84,0.5578,92.73,0
2026-01-02 12:30:00,4.999,66.05,1408.7,70.93,51.77,62.8,0.5494,93.97,0
2026-01-02 13:00:00,5.222,68.88,1428.0,71.25,55.8,58.19,0.5839,91.49,0
2026-01-02 13:30:00,5.123,63.98,1406.2,70.47,53.92,61.04,0.5586,94.59,0
2026-01-02 14:00:00,5.221,66.38,1410.6,71.91,51.69,61.34,0.5617,91.95,0
2026-01-02 14:30:00,5.224,64.35,1425.6,71.06,49.62,61.69,0.5515,93.83,0
2026-01-02 15:00:00,5.172,63.95,1413.6,69.59,51.97,61.66,0.5544,94.11,0
2026-01-02 15:30:00,5.188,65.17,1413.7,71.35,53.69,59.1,0.5672,91.23,0
2026-01-02 16:00:00,5.031,65.71,1409.8,71.37,53.65,60.54,0.5592,96.0,0
2026-01-02 16:30:00,5.137,67.39,1410.7,72.53,53.88,61.83,0.5651,91.33,0
2026-01-02 17:00:00,5.187,65.19,1407.7,70.13,50.91,62.43,0.5536,92.47,0
2026-01-02 17:30:00,5.42,65.1,1412.4,70.92,51.68,62.76,0.5639,92.58,0
2026-01-02 18:00:00,5.121,64.65,1422.0,70.12,53.33,62.49,0.5557,93.51,0
2026-01-02 18:30:00,5.068,66.67,1419.8,69.21,55.1,59.8,0.5679,91.54,0
2026-01-02 19:00:00,5.539,64.03,1426.7,70.89,56.28,62.19,0.5789,92.03,0
2026-01-02 19:30:00,5.442,67.7,1424.2,70.03,51.92,58.32,0.58,90.94,0
2026-01-02 20:00:00,5.395,66.69,1407.0,70.91,52.62,60.58,0.5732,91.33,0
2026-01-02 20:30:00,4.998,64.58,1417.4,69.92,52.58,63.59,0.5466,94.91,0
2026-01-02 21:00:00,5.047,68.34,1405.5,69.96,52.76,58.55,0.5674,90.56,0
